10011086,"Clean, renovated 1 bedroom apt close to 1 train",22257525,Andrea,Manhattan,Harlem,40.82501,-73.95125,Entire home/apt,100,3,1,2016-08-19,0.03,1,0
10011763,"Beautiful quiet apartment, Bushwick",24190730,Lara,Brooklyn,Bushwick,40.68353,-73.90484,Private room,70,1,21,2016-09-26,0.50,1,0
10012292,"Entire 2 bedroom in Williamsburg, Brooklyn!",51422606,Kensey,Brooklyn,Williamsburg,40.71237,-73.93929,Entire home/apt,96,2,17,2019-01-02,0.40,1,0
10017050,"Nice and Quiet, lots of trees.",45483124,Maria,Queens,East Elmhurst,40.75836,-73.87631,Private room,700,1,1,2016-01-03,0.02,1,97
10022997,"A clean, spacious studio apartment",4628519,Hana,Manhattan,Upper West Side,40.79072,-73.97252,Entire home/apt,150,3,0,N/A,N/A,1,0
10023629,"Chic and Spacious 1BD, minutes from Times Sq!",13056751,Eleni,Manhattan,Hell's Kitchen,40.76458,-73.99007,Private room,102,1,49,2019-06-24,1.70,1,134
10023653,"Sunny, Light room with Loft Bed",7581707,Brianna,Brooklyn,Bedford-Stuyvesant,40.69425,-73.95081,Private room,30,1,0,N/A,N/A,1,0
10036394,"Huge, Sunny Loft for Rent",583269,Kenzo,Brooklyn,Bedford-Stuyvesant,40.69998,-73.9413,Private room,110,1,0,N/A,N/A,1,0
10038823,"Apartment for 5, Midtown Manhattan",48681257,Celia,Manhattan,Midtown,40.75828,-73.96286,Entire home/apt,220,1,116,2019-06-23,2.89,1,264
10039250,"JFK,LGA,Manhattan,TimeSq,privateBathroom,Queens",36577517,Nan,Queens,Elmhurst,40.74556,-73.88118,Private room,49,2,1,2016-03-11,0.02,2,83
10043064,"Full Apartment NYE! 2BR, fits 6!",51552511,Shelby,Manhattan,Harlem,40.82364,-73.94556,Entire home/apt,150,2,2,2016-01-03,0.05,1,0
10050847,"Cozy, Bright room in Williamsburg",51584665,Andrew,Brooklyn,Williamsburg,40.71229,-73.96245,Private room,50,10,3,2016-07-15,0.07,1,0
10054480,"Lovely, cozy private room available",16179625,Kt,Manhattan,Harlem,40.82624,-73.9434,Private room,55,3,58,2019-06-23,1.76,1,0
10056541,"Bright Studio - Park Slope, BK",10807649,Yehua,Brooklyn,South Slope,40.66218,-73.98385,Entire home/apt,61,2,20,2019-05-30,0.57,1,0
10058942,"Columbia Univer, female/couple only",12245536,Rong,Manhattan,Harlem,40.82083,-73.95795,Private room,39,2,3,2016-07-21,0.07,2,0
10068269,"Large Rm In Williamsburg, Brooklyn",51664119,Toyosi,Brooklyn,Williamsburg,40.71274,-73.94513,Private room,130,2,1,2016-01-03,0.02,1,0
